x, y
5,1.84178
6,1.94192
7,1.93596
8,1.95265
9,1.99556
10,1.97887
11,2.03252
12,2.05994
13,2.06828
14,2.01821
15,2.05755
16,2.03371
17,2.0659
18,2.08378
19,2.0957
20,2.11835
21,2.11477
22,2.12073
23,2.141
24,2.15769
25,2.14338
26,2.15411
27,2.15769
28,2.21372
29,2.20299
30,2.17795
31,2.21252
32,2.1863
33,2.20776
34,2.10524
35,2.16484
36,2.22802
37,2.19107
38,2.2459
39,2.21491
40,2.23875
41,2.27571
42,2.25544
43,2.29836
44,2.28167
45,2.27928
46,2.29597
47,2.31147
48,2.26021
49,2.33293
50,2.29716
51,2.29478
52,2.27928
53,2.31028
54,2.3222
55,2.32339
56,2.3222
57,2.33293
58,2.3365
59,2.37346
60,2.34127
61,2.39253
62,2.36392
63,2.37346
64,2.37107
65,2.30074
66,2.36154
67,2.3222
68,2.35915
69,2.36511
70,2.37584
71,2.40922
72,2.38538
73,2.4116
74,2.44141
75,2.41041
76,2.41756
77,2.40922
78,2.39134
79,2.40922
80,2.40088
81,2.38657
82,2.42591
83,2.42472
84,2.42472
85,2.44737
86,2.44737
87,2.43306
88,2.46048
89,2.48075
90,2.43306
91,2.47002
92,2.47121
93,2.44617
94,2.47121
95,2.44498
96,2.47478
97,2.8038
98,2.6691
99,2.63572
100,2.48313
101,2.49267
102,2.4879
103,2.47359
104,2.49624
105,2.5022
106,2.49386
107,2.51174
108,2.49863
109,2.48194
110,2.50459
111,2.53558
112,2.51174
113,2.50936
114,2.50936
115,2.49863
116,2.52128
117,2.50816
118,2.47478
119,2.53558
120,2.52366
121,2.53677
122,2.53797
123,2.52008
124,2.47598
125,2.56777
126,2.52724
127,2.54869
128,2.58684
129,2.5475
130,2.49982
131,2.54273
132,2.53081
133,2.58684
134,2.53558
135,2.5475
136,2.55108
137,2.56062
138,2.57492
139,2.59757
140,2.59161
141,2.57254
142,2.62141
143,2.60711
144,2.58446
145,2.59638
146,2.58684
147,2.63333
148,2.59876
149,2.62618
150,2.62976
151,2.60115
152,2.62618
153,2.61784
154,2.60949
155,2.63333
156,2.62499
157,2.62141
158,2.57015
159,2.62976
160,2.60115
161,2.63333
162,2.61664
163,2.62856
164,2.6679
165,2.62499
166,2.62976
167,2.64168
168,2.6536
169,2.57134
170,2.67863
171,2.64049
172,2.64406
173,2.65598
174,2.63214
175,2.67386
176,2.67386
177,2.66552
178,2.7144
179,2.66075
180,2.6679
181,2.69294
182,2.68459
183,3.05772
184,2.74301
185,2.69175
186,2.73824
187,2.66433
188,2.63929
189,2.70844
190,2.70605
191,2.72155
192,2.73824
193,2.66671
194,2.73347
195,2.73108
196,2.69651
197,2.69294
198,2.72512
199,2.71201
200,2.73824
201,2.73108
202,2.67386
203,2.73228
204,2.71559
205,2.73466
206,2.7287
207,2.73108
208,2.76446
209,2.72393
210,2.72989
211,2.6679
212,2.73824
213,2.74539
214,2.72751
215,2.77638
216,2.74897
217,2.73466
218,2.70724
219,2.76804
220,2.74062
221,2.71201
222,2.76089
223,2.78234
224,2.72512
225,2.7442
226,2.76446
227,2.76685
228,2.77162
229,2.71559
230,2.76685
231,2.79188
232,2.73466
233,2.75493
234,2.77877
235,2.76566
236,2.81334
237,2.75731
238,2.78115
239,2.76089
240,2.77758
241,2.78831
242,2.77996
243,2.78234
244,2.78473
245,2.79427
246,2.72274
247,2.79069
248,2.77996
249,2.78473
250,2.78354
251,2.81215
252,2.81692
253,2.79307
254,2.79427
255,2.80738
256,2.79546
257,2.82526
258,2.8491
259,2.85625
260,2.86222
261,2.86818
262,2.81453
263,2.82526
264,2.85268
265,3.227
266,2.8491
267,2.91586
268,2.87056
269,2.87771
270,2.91944
271,2.87771
272,2.88606
273,2.87533
274,2.86698
275,2.98738
276,2.93612
277,2.91109
278,2.88129
279,2.91944
280,2.85864
281,2.86698
282,2.89083
283,2.94805
284,2.92301
285,2.9099
286,2.90751
287,2.86102
288,2.94924
289,2.9254
290,2.91586
291,2.92182
292,2.87533
