x, y
5,2.20656
6,2.22325
7,2.25425
8,2.27451
9,2.25663
10,2.24113
11,2.30551
12,2.31862
13,2.31028
14,2.27213
15,2.29001
16,2.26855
17,2.21968
18,2.27094
19,2.25186
20,2.27928
21,2.27571
22,2.26498
23,2.31028
24,2.34246
25,2.28047
26,2.3067
27,2.3067
28,2.27809
29,2.34127
30,2.25663
31,2.30908
32,2.29597
33,2.26974
34,2.32577
35,2.34485
36,2.34008
37,2.23637
38,2.29955
39,2.352
40,2.29359
41,2.26617
42,2.30312
43,2.27332
44,2.3222
45,2.321
46,2.28405
47,2.28524
48,2.29001
49,2.27213
50,2.30908
51,2.34365
52,2.30432
53,2.27332
54,2.26855
55,2.27928
56,2.29597
57,2.27571
58,2.27213
59,2.3067
60,2.29716
61,2.30074
62,2.31147
63,2.28405
64,2.27213
65,2.29955
66,2.28643
67,2.28167
68,2.28643
69,2.26736
70,2.28286
71,2.28405
72,2.31266
73,2.3222
74,2.30789
75,2.31385
76,2.33293
77,2.29836
78,2.30074
79,2.28405
80,2.31147
81,2.27809
82,2.29239
83,2.29955
84,2.30074
85,2.27809
86,2.29001
87,2.3067
88,2.32697
89,2.28882
90,2.30074
91,2.32697
92,2.31862
93,2.29955
94,2.31147
95,2.31266
96,2.29001
97,2.26498
98,2.30312
99,2.23279
100,2.32935
101,2.32458
102,2.28763
103,2.33769
104,2.35319
105,2.32935
106,2.33054
107,2.32816
108,2.32458
109,2.36392
110,2.33293
111,2.32339
112,2.32458
113,2.33293
114,2.32935
115,2.33054
116,2.34008
117,2.26736
118,2.34127
119,2.36034
120,2.28643
121,2.36392
122,2.34962
123,2.32935
124,2.36869
125,2.36511
126,2.35558
127,2.35558
128,2.34365
129,2.34962
130,2.36273
131,2.38419
132,2.39134
133,2.34842
134,2.33889
135,2.35081
136,2.33412
137,2.3365
138,2.3675
139,2.37346
140,2.31147
141,2.36869
142,2.3675
143,2.352
144,2.40445
145,2.36034
146,2.38657
147,2.40684
148,2.35915
149,2.37584
150,2.38061
151,2.35915
152,2.36511
153,2.36392
154,2.36869
155,2.34723
156,2.39015
157,2.352
158,2.36988
159,2.38776
160,2.34604
161,2.38657
162,2.37942
163,2.35796
164,2.37465
165,2.35319
166,2.37226
167,2.37107
168,2.37823
169,2.37107
170,2.34008
171,2.4116
172,2.35558
173,2.36034
174,2.39849
175,2.32577
176,2.39849
177,2.36392
178,2.35677
179,2.39849
180,2.40207
181,2.37584
182,2.41041
183,2.39134
184,2.38538
185,2.4116
186,2.38419
187,2.36154
188,2.43068
189,2.3818
190,2.37823
191,2.4116
192,2.38299
193,2.39253
194,2.40326
195,2.39372
196,2.36988
197,2.42949
198,2.34604
199,2.40088
200,2.38895
201,2.39134
202,2.4128
203,2.40445
204,2.38657
205,2.35438
206,2.41995
207,2.40207
208,2.38657
209,2.41637
210,2.40445
211,2.39491
212,2.35319
213,2.41995
214,2.42233
215,2.4128
216,2.40326
217,2.4569
218,2.42829
219,2.39968
220,2.41876
221,2.4271
222,2.40207
223,2.41995
224,2.40922
225,2.37823
226,2.40326
227,2.41041
228,2.4271
229,2.37703
230,2.39849
231,2.40922
232,2.41995
233,2.42114
234,2.44141
235,2.40445
236,2.37942
237,2.44141
238,2.40326
239,2.40445
240,2.43783
241,2.40207
242,2.4128
243,2.39611
244,2.42472
245,2.42829
246,2.42233
247,2.40088
248,2.42352
249,2.3973
250,2.41518
251,2.40684
252,2.39968
253,2.39015
254,2.44021
255,2.43664
