x,y,z
100,200,949.097906597923
100,250,1013.1615974805082
100,300,1065.5054442414335
100,350,1109.7615360873865
100,400,1148.0979065979232
100,450,1181.9129818849433
100,500,1212.1615974805081
100,550,1239.524798706745
100,600,1264.5054442414335
100,650,1287.4854105080003
100,700,1308.7615360873865
100,750,1328.5691351240184
100,800,1347.0979065979232
100,850,1364.5030120067408
100,900,1380.9129818849433
100,950,1396.4354817731964
100,1000,1411.1615974805081
100,1050,1425.1690737308963
100,1100,1438.524798706745
100,1150,1451.2867358532685
100,1200,1463.5054442414335
100,1250,1475.2252883630931
100,1300,1486.4854105080003
100,1350,1497.3205195284531
100,1400,1507.761536087386
100,1450,1517.8361246283098
125,0,0
125,50,651.6313713864835
125,100,900.6313713864835
125,150,1046.287034066051
125,200,1149.6313713864834
125,250,1229.7914670134369
125,300,1295.2870340660515
125,350,1350.6627469788273
125,400,1398.6313713864838
125,450,1440.9426967456193
125,500,1478.7914670134369
125,550,1513.0298444271707
125,600,1544.2870340660515
125,650,1573.0408612036153
125,700,1599.6627469788273
125,750,1624.4471296930046
125,800,1647.6313713864838
125,850,1669.4096188578183
125,900,1689.9426967456193
125,950,1709.3653222339367
125,1000,1727.7914670134369
125,1050,1745.318409658395
125,1100,1762.0298444271707
125,1150,1777.9982984446797
125,1200,1793.2870340660515
125,1250,1807.95156264039
125,1300,1822.0408612036153
125,1350,1835.5983594251875
125,1400,1848.6627469788273
125,1450,1861.268639173249
150,0,0
150,50,744.9613784777646
150,100,1043.9613784777646
150,150,1218.8651661933905
150,200,1342.9613784777644
150,250,1439.217878849086
150,300,1517.8651661933905
150,350,1584.3605001729884
150,400,1641.9613784777648
150,450,1692.768953909016
150,500,1738.217878849086
150,550,1779.3314324503167
150,600,1816.8651661933905
150,650,1851.3928542019512
150,700,1883.3605001729884
150,750,1913.1216665647116
150,800,1940.9613784777648
150,850,1967.112768011616
150,900,1991.768953909016
150,950,2015.0917049973968
150,1000,2037.217878849086
150,1050,2058.264287888614
150,1100,2078.3314324503167
150,1150,2097.5064033388117
150,1200,2115.8651661933905
150,1250,2133.474379220407
150,1300,2150.392854201951
150,1350,2166.6727416246417
150,1400,2182.3605001729884
150,1450,2197.4976960209087
175,0,0
175,50,832.2926545488888
