x,y,z
275,450,917.842
275,500,995.516
275,550,1065.78
275,600,1129.926
275,650,1188.935
275,700,1243.569
275,750,1294.432
275,800,1342.011
275,850,1386.704
275,900,1428.842
275,950,1468.701
275,1000,1506.516
275,1050,1542.485
275,1100,1576.78
275,1150,1609.551
275,1200,1640.926
275,1250,1671.021
275,1300,1699.935
275,1350,1727.758
275,1400,1754.569
275,1450,1780.439
300,0,0
300,50,97.563
300,100,201.77
300,150,305.349
300,200,411.183
300,250,493.275
300,300,618.926
300,350,732.569
300,400,831.011
300,450,917.842
300,500,995.516
300,550,1065.78
300,600,1129.926
300,650,1188.935
300,700,1243.569
300,750,1294.432
300,800,1342.011
300,850,1386.704
300,900,1428.842
300,950,1468.701
300,1000,1506.516
300,1050,1542.485
300,1100,1576.78
300,1150,1609.551
300,1200,1640.926
300,1250,1671.021
300,1300,1699.935
300,1350,1727.758
300,1400,1754.569
300,1450,1780.439
325,0,0
325,50,97.563
325,100,201.77
325,150,305.349
325,200,411.183
325,250,493.275
325,300,618.926
325,350,732.569
325,400,831.011
325,450,917.842
325,500,995.516
325,550,1065.78
325,600,1129.926
325,650,1188.935
325,700,1243.569
325,750,1294.432
325,800,1342.011
325,850,1386.704
325,900,1428.842
325,950,1468.701
325,1000,1506.516
325,1050,1542.485
325,1100,1576.78
325,1150,1609.551
325,1200,1640.926
325,1250,1671.021
325,1300,1699.935
325,1350,1727.758
325,1400,1754.569
325,1450,1780.439
350,0,0
350,50,97.563
350,100,201.77
350,150,305.349
350,200,411.183
350,250,493.275
350,300,618.926
350,350,732.569
350,400,831.011
350,450,917.842
350,500,995.516
350,550,1065.78
350,600,1129.926
350,650,1188.935
350,700,1243.569
350,750,1294.432
350,800,1342.011
350,850,1386.704
350,900,1428.842
350,950,1468.701
350,1000,1506.516
350,1050,1542.485
350,1100,1576.78
350,1150,1609.551
350,1200,1640.926
350,1250,1671.021
350,1300,1699.935
350,1350,1727.758
350,1400,1754.569
350,1450,1780.439
375,0,0
375,50,97.563
375,100,201.77
375,150,305.349
375,200,411.183
375,250,493.275
375,300,618.926
375,350,732.569
375,400,831.011
375,450,917.842
375,500,995.516
375,550,1065.78
375,600,1129.926
375,650,1188.935
375,700,1243.569
375,750,1294.432
375,800,1342.011
375,850,1386.704
375,900,1428.842
375,950,1468.701
375,1000,1506.516
375,1050,1542.485
375,1100,1576.78
375,1150,1609.551
375,1200,1640.926
375,1250,1671.021
375,1300,1699.935
375,1350,1727.758
375,1400,1754.569
375,1450,1780.439
400,0,0
400,50,97.563
400,100,201.77
400,150,305.349
400,200,411.183
400,250,493.275
400,300,618.926
400,350,732.569
400,400,831.011
400,450,917.842
400,500,995.516
400,550,1065.78
400,600,1129.926
400,650,1188.935
400,700,1243.569
400,750,1294.432
400,800,1342.011
400,850,1386.704
400,900,1428.842
400,950,1468.701
400,1000,1506.516
400,1050,1542.485
400,1100,1576.78
400,1150,1609.551
400,1200,1640.926
400,1250,1671.021
400,1300,1699.935
400,1350,1727.758
400,1400,1754.569
400,1450,1780.439
425,0,0
425,50,97.563
425,100,201.77
425,150,305.349
425,200,411.183
425,250,493.275
425,300,618.926
425,350,732.569
425,400,831.011
425,450,917.842
425,500,995.516
425,550,1065.78
425,600,1129.926
425,650,1188.935
425,700,1243.569
425,750,1294.432
425,800,1342.011
425,850,1386.704
425,900,1428.842
425,950,1468.701
425,1000,1506.516
425,1050,1542.485
425,1100,1576.78
425,1150,1609.551
425,1200,1640.926
425,1250,1671.021
425,1300,1699.935
425,1350,1727.758
425,1400,1754.569
425,1450,1780.439
450,0,0
450,50,97.563
450,100,201.77
450,150,305.349
450,200,411.183
450,250,493.275
450,300,618.926
450,350,732.569
450,400,831.011
450,450,917.842
450,500,995.516
450,550,1065.78
450,600,1129.926
450,650,1188.935
450,700,1243.569
450,750,1294.432
450,800,1342.011
450,850,1386.704
450,900,1428.842
450,950,1468.701
450,1000,1506.516
450,1050,1542.485
450,1100,1576.78
450,1150,1609.551
450,1200,1640.926
450,1250,1671.021
450,1300,1699.935
450,1350,1727.758
450,1400,1754.569
450,1450,1780.439
475,0,0
475,50,97.563
475,100,201.77
475,150,305.349
475,200,411.183
475,250,493.275
475,300,618.926
475,350,732.569
475,400,831.011
475,450,917.842
475,500,995.516
475,550,1065.78
475,600,1129.926
475,650,1188.935
475,700,1243.569
475,750,1294.432
475,800,1342.011
475,850,1386.704
475,900,1428.842
475,950,1468.701
475,1000,1506.516
475,1050,1542.485
475,1100,1576.78
475,1150,1609.551
475,1200,1640.926
475,1250,1671.021
475,1300,1699.935
475,1350,1727.758
475,1400,1754.569
475,1450,1780.439
500,0,0
500,50,97.563
500,100,201.77
500,150,305.349
500,200,411.183
500,250,493.275
500,300,618.926
500,350,732.569
500,400,831.011
500,450,917.842
500,500,995.516
500,550,1065.78
500,600,1129.926
500,650,1188.935
500,700,1243.569
500,750,1294.432
500,800,1342.011
500,850,1386.704
500,900,1428.842
500,950,1468.701
500,1000,1506.516
500,1050,1542.485
500,1100,1576.78
500,1150,1609.551
500,1200,1640.926
500,1250,1671.021
500,1300,1699.935
500,1350,1727.758
500,1400,1754.569
500,1450,1780.439
525,0,0
525,50,97.563
525,100,201.77
525,150,305.349
525,200,411.183
525,250,493.275
525,300,618.926
525,350,732.569
525,400,831.011
525,450,917.842
525,500,995.516
525,550,1118.663
525,600,1247.082
525,650,1365.215
525,700,1474.589
525,750,1576.414
525,800,1671.665
525,850,1761.139
525,900,1845.498
525,950,1925.295
525,1000,2000.997
525,1050,2073.006
525,1100,2141.663
525,1150,2207.269
525,1200,2270.082
525,1250,2330.33
525,1300,2388.215
525,1350,2443.915
525,1400,2497.589
525,1450,2549.379
550,0,0
550,50,97.563
550,100,201.77
550,150,305.349
550,200,411.183
550,250,493.275
550,300,618.926
550,350,732.569
550,400,831.011
550,450,917.842
550,500,995.516
550,550,1118.663
550,600,1247.082
550,650,1365.215
550,700,1474.589
550,750,1576.414
550,800,1671.665
550,850,1761.139
550,900,1845.498
550,950,1925.295
550,1000,2000.997
550,1050,2073.006
550,1100,2141.663
550,1150,2207.269
550,1200,2270.082
550,1250,2330.33
550,1300,2388.215
550,1350,2443.915
550,1400,2497.589
550,1450,2549.379
575,0,0
575,50,97.563
575,100,201.77
575,150,305.349
575,200,411.183
575,250,493.275
575,300,618.926
